ID,C1,C2,C3
1,0.6267138,0.001722141,0.37156403
2,0.013104321,0.97244304,0.014452565
3,0.586138,0.0016004982,0.41226152
4,0.7745295,0.0014376615,0.22403282
5,0.016066352,0.96564054,0.01829318
6,0.55157036,0.0015910073,0.44683868
7,0.012219016,0.97530705,0.0124739725
8,0.013104321,0.97244304,0.014452565
9,0.7003166,0.0027899991,0.29689345
10,0.7337575,0.0045446777,0.2616978
11,0.4555949,0.001561284,0.5428438
12,0.63359404,0.001609028,0.36479688
13,0.0025542718,0.9941695,0.003276291
14,0.5964785,0.0016665396,0.40185493
15,0.062019132,0.8892151,0.04876579
16,0.6835669,0.0014661021,0.31496698
17,0.8282139,0.0029997418,0.16878639
18,0.062019132,0.8892151,0.04876579
19,0.55243725,0.05970638,0.3878564
20,0.5102926,0.0017555867,0.48795182
21,0.00672622,0.9868352,0.0064386437
22,0.9617565,0.00069795124,0.037545532
23,0.3099373,0.43493667,0.255126
24,0.014135912,0.9713993,0.014464837
25,0.637511,0.001554366,0.36093464
26,0.012219016,0.97530705,0.0124739725
27,0.009817106,0.98191756,0.0082653975
28,0.012219016,0.97530705,0.0124739725
29,0.0070811766,0.91471434,0.07820453
30,0.013236226,0.9745779,0.012185947
31,0.47732168,0.0016685918,0.52100974
32,0.014135912,0.9713993,0.014464837
33,0.63359404,0.001609028,0.36479688
34,0.62282926,0.0015521391,0.37561858
35,0.5719653,0.001600822,0.42643392
36,0.03580503,0.90041447,0.06378052
37,0.5719653,0.001600822,0.42643392
38,0.5788565,0.001600703,0.41954282
39,0.033618346,0.9476993,0.018682327
40,0.012219016,0.97530705,0.0124739725
41,0.5719653,0.001600822,0.42643392
42,0.044047058,0.00081814465,0.9551348
43,0.013236226,0.9745779,0.012185947
44,0.0070811766,0.91471434,0.07820453
45,0.5719653,0.001600822,0.42643392
46,0.55949634,0.0021128154,0.43839082
47,0.5207473,0.0016982469,0.4775544
48,0.5788565,0.001600703,0.41954282
49,0.014135912,0.9713993,0.014464837
50,0.59269273,0.001561666,0.40574557
51,0.5719653,0.001600822,0.42643392
52,0.021726357,0.95956033,0.018713318
53,0.963403,0.00076653337,0.035830427
54,0.95390695,0.0012501646,0.044842854
55,0.00672622,0.9868352,0.0064386437
56,0.5788565,0.001600703,0.41954282
57,0.57513636,0.0017868469,0.42307678
58,0.021726357,0.95956033,0.018713318
59,0.7745295,0.0014376615,0.22403282
60,0.5701256,0.0016492921,0.4282251
61,0.00672622,0.9868352,0.0064386437
62,0.7337575,0.0045446777,0.2616978
63,0.5443097,0.0015274773,0.4541629
64,0.5420867,0.001690007,0.45622325
65,0.5880677,0.0060244,0.4059079
